district,net_republican_change,net_democrat_change,net_advantage,favors
62,81.55669154188399,-473.5627871510253,555.1194786929093,Republican
63,-1.8189894035458565e-12,0.0,-1.8189894035458565e-12,Neutral
64,-848.6808936040998,1013.7472933679892,-1862.428186972089,Democrat
65,0.0,0.0,0.0,Neutral
66,590.6265789949139,-384.8867285341703,975.5133075290842,Republican
67,498.47833027208617,-231.14182793980763,729.6201582118938,Republican
68,-1721.9630124249234,636.4523994987726,-2358.415411923696,Democrat
69,15.12947240751987,-88.58035172832021,103.70982413584008,Republican
70,-52.79248100512996,142.5459499175813,-195.33843092271127,Democrat
71,364.70665489566454,-136.7245550986015,501.43120999426606,Republican
72,104.52034157437448,11.711004213745014,92.80933736062947,Republican
73,987.603670826982,-1128.417349358935,2116.021020185917,Republican
74,-43.03225312033646,-214.12311083854615,171.0908577182097,Republican
75,-103.72388088084284,64.45183128589358,-168.17571216673642,Democrat
76,0.0,0.0,0.0,Neutral
77,-509.7812351289549,462.0245727679926,-971.8058078969475,Democrat
78,1491.9436576497735,-1275.2575867206997,2767.2012443704734,Republican
79,-117.23763774553936,-164.26779508437355,47.03015733883419,Republican
80,-786.8490015933824,940.565006610842,-1727.4140082042245,Democrat
81,-2.8935578265754884,-102.05323350204162,99.15967567546613,Republican
82,182.8390060846432,-236.54760585632357,419.38661194096676,Republican
83,-87.7437825888459,74.75243290001683,-162.49621548886273,Democrat
84,-335.82656126102313,382.0243890717736,-717.8509503327967,Democrat
85,-1031.3246401126637,410.5272987359935,-1441.8519388486573,Democrat
86,406.6372087039581,89.04518985322909,317.592018850729,Republican
87,30.266182475693313,311.03818827209625,-280.77200579640294,Democrat
88,142.506530450843,23.50008436627172,119.00644608457128,Republican
89,142.3611755768834,-183.80259182749975,326.1637674043832,Republican
90,0.0,0.0,0.0,Neutral
91,0.0,-4.547473508864641e-13,4.547473508864641e-13,Neutral
92,0.0,0.0,0.0,Neutral
93,0.0,0.0,0.0,Neutral
94,0.0,9.094947017729282e-13,-9.094947017729282e-13,Neutral
95,0.0,9.094947017729282e-13,-9.094947017729282e-13,Neutral
96,0.0,0.0,0.0,Neutral
97,0.0,0.0,0.0,Neutral
98,0.0,0.0,0.0,Neutral
99,0.0,0.0,0.0,Neutral
100,0.0,0.0,0.0,Neutral
101,0.0,0.0,0.0,Neutral
102,0.0,0.0,0.0,Neutral
103,4.547473508864641e-13,0.0,4.547473508864641e-13,Neutral
104,0.0,0.0,0.0,Neutral
105,0.0,-4.547473508864641e-13,4.547473508864641e-13,Neutral
106,0.0,0.0,0.0,Neutral
107,0.0,0.0,0.0,Neutral
108,0.0,0.0,0.0,Neutral
109,0.0,-1.8189894035458565e-12,1.8189894035458565e-12,Neutral
110,0.0,0.0,0.0,Neutral
111,0.0,0.0,0.0,Neutral
112,0.0,0.0,0.0,Neutral
113,0.0,0.0,0.0,Neutral
114,0.0,0.0,0.0,Neutral
115,0.0,0.0,0.0,Neutral
116,0.0,0.0,0.0,Neutral
117,0.0,0.0,0.0,Neutral
118,0.0,0.0,0.0,Neutral
119,0.0,0.0,0.0,Neutral
120,0.0,0.0,0.0,Neutral
121,0.0,9.094947017729282e-13,-9.094947017729282e-13,Neutral
122,0.0,0.0,0.0,Neutral
123,-9.094947017729282e-13,0.0,-9.094947017729282e-13,Neutral
124,0.0,0.0,0.0,Neutral
125,0.0,0.0,0.0,Neutral
126,-28.3753416523723,-193.36787259053656,164.99253093816426,Republican
127,-80.98479088573004,183.085327337767,-264.07011822349705,Democrat
128,-189.08064081915657,299.1517788799574,-488.23241969911396,Democrat
129,728.770309397547,-558.8498627328372,1287.6201721303842,Republican
130,668.229263195688,-376.5625985335428,1044.7918617292307,Republican
131,1227.6963372443124,-994.8487982557544,2222.545135500067,Republican
132,-41.44236683396775,57.43823636693014,-98.8806032008979,Democrat
133,1391.3835009394825,-1002.739296849366,2394.1227977888484,Republican
134,564.3664265784137,-840.6775530897394,1405.043979668153,Republican
135,421.61887617371394,-366.06776444744173,787.6866406211557,Republican
137,577.2207509221334,-346.0941732415922,923.3149241637257,Republican
138,681.7486519568301,-710.3700134950832,1392.1186654519133,Republican
139,250.11466268537515,-270.70062147716817,520.8152841625433,Republican
140,2317.7639244941383,-1804.2284026160744,4121.9923271102125,Republican
141,2706.676565624395,-2430.6795578480014,5137.356123472397,Republican
142,2101.8530324668827,-1782.5666283471985,3884.419660814081,Republican
143,1050.9922486893174,-678.4200180266926,1729.41226671601,Republican
144,2080.487364972807,-384.68558720091823,2465.172952173725,Republican
145,1094.3907716173817,-1723.875099170535,2818.2658707879164,Republican
146,520.5199115667674,-151.623245104518,672.1431566712854,Republican
147,962.6357103951776,-1015.3408276653244,1977.976538060502,Republican
148,48.29684054735844,68.54419320414127,-20.247352656782823,Democrat
149,616.9097114135366,-480.5207743462652,1097.4304857598017,Republican
150,0.3526899941280135,39.20183775716578,-38.84914776303776,Democrat
